Fiscal Year,Region Code,Region,Confirmed Victims,Gender,Race/Ethnicity,Age,Victims
2019,001,1-Lubbock,Not Confirmed,Female,African American,0,43
2019,001,1-Lubbock,Not Confirmed,Female,African American,1,35
2019,001,1-Lubbock,Not Confirmed,Female,African American,10,10
2019,001,1-Lubbock,Not Confirmed,Female,African American,11,13
2019,001,1-Lubbock,Not Confirmed,Female,African American,12,12
2019,001,1-Lubbock,Not Confirmed,Female,African American,13,21
2019,001,1-Lubbock,Not Confirmed,Female,African American,14,12
2019,001,1-Lubbock,Not Confirmed,Female,African American,15,13
2019,001,1-Lubbock,Not Confirmed,Female,African American,16,15
2019,001,1-Lubbock,Not Confirmed,Female,African American,17,9
2019,001,1-Lubbock,Not Confirmed,Female,African American,2,18
2019,001,1-Lubbock,Not Confirmed,Female,African American,3,27
2019,001,1-Lubbock,Not Confirmed,Female,African American,4,30
2019,001,1-Lubbock,Not Confirmed,Female,African American,5,22
2019,001,1-Lubbock,Not Confirmed,Female,African American,6,26
2019,001,1-Lubbock,Not Confirmed,Female,African American,7,30
2019,001,1-Lubbock,Not Confirmed,Female,African American,8,32
2019,001,1-Lubbock,Not Confirmed,Female,African American,9,24
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,0,96
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,1,66
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,10,69
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,11,66
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,12,85
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,13,70
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,14,59
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,15,67
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,16,46
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,17,34
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,18,1
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,2,91
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,3,95
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,4,104
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,5,103
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,6,82
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,7,84
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,8,75
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,9,69
2019,001,1-Lubbock,Not Confirmed,Female,Anglo,Over 18,3
2019,001,1-Lubbock,Not Confirmed,Female,Asian,0,2
2019,001,1-Lubbock,Not Confirmed,Female,Asian,1,3
