Fiscal Year,Region,Removal Stage,Gender,Race/Ethnicity,Age,Removals
2019,1-Lubbock,Family Preservation,Female,African American,0,1
2019,1-Lubbock,Family Preservation,Female,African American,1,1
2019,1-Lubbock,Family Preservation,Female,African American,2,1
2019,1-Lubbock,Family Preservation,Female,African American,3,0
2019,1-Lubbock,Family Preservation,Female,African American,4,0
2019,1-Lubbock,Family Preservation,Female,African American,5,0
2019,1-Lubbock,Family Preservation,Female,African American,6,0
2019,1-Lubbock,Family Preservation,Female,African American,7,0
2019,1-Lubbock,Family Preservation,Female,African American,8,0
2019,1-Lubbock,Family Preservation,Female,African American,9,1
2019,1-Lubbock,Family Preservation,Female,African American,10,1
2019,1-Lubbock,Family Preservation,Female,African American,11,0
2019,1-Lubbock,Family Preservation,Female,African American,12,0
2019,1-Lubbock,Family Preservation,Female,African American,13,1
2019,1-Lubbock,Family Preservation,Female,African American,14,0
2019,1-Lubbock,Family Preservation,Female,African American,15,1
2019,1-Lubbock,Family Preservation,Female,African American,16,0
2019,1-Lubbock,Family Preservation,Female,Anglo,0,0
2019,1-Lubbock,Family Preservation,Female,Anglo,1,2
2019,1-Lubbock,Family Preservation,Female,Anglo,2,3
2019,1-Lubbock,Family Preservation,Female,Anglo,3,2
2019,1-Lubbock,Family Preservation,Female,Anglo,4,0
2019,1-Lubbock,Family Preservation,Female,Anglo,5,0
2019,1-Lubbock,Family Preservation,Female,Anglo,6,1
2019,1-Lubbock,Family Preservation,Female,Anglo,7,0
2019,1-Lubbock,Family Preservation,Female,Anglo,8,1
2019,1-Lubbock,Family Preservation,Female,Anglo,9,1
2019,1-Lubbock,Family Preservation,Female,Anglo,10,1
2019,1-Lubbock,Family Preservation,Female,Anglo,11,1
2019,1-Lubbock,Family Preservation,Female,Anglo,12,0
2019,1-Lubbock,Family Preservation,Female,Anglo,13,0
2019,1-Lubbock,Family Preservation,Female,Anglo,14,1
2019,1-Lubbock,Family Preservation,Female,Anglo,15,0
2019,1-Lubbock,Family Preservation,Female,Anglo,16,1
2019,1-Lubbock,Family Preservation,Female,Anglo,17,1
2019,1-Lubbock,Family Preservation,Female,Asian,1,0
2019,1-Lubbock,Family Preservation,Female,Asian,4,0
2019,1-Lubbock,Family Preservation,Female,Asian,6,0
2019,1-Lubbock,Family Preservation,Female,Asian,8,0
2019,1-Lubbock,Family Preservation,Female,Asian,9,0
2019,1-Lubbock,Family Preservation,Female,Asian,14,1
2019,1-Lubbock,Family Preservation,Female,Asian,15,0
2019,1-Lubbock,Family Preservation,Female,Hispanic,0,7
2019,1-Lubbock,Family Preservation,Female,Hispanic,1,5
2019,1-Lubbock,Family Preservation,Female,Hispanic,2,5
2019,1-Lubbock,Family Preservation,Female,Hispanic,3,0
2019,1-Lubbock,Family Preservation,Female,Hispanic,4,6
2019,1-Lubbock,Family Preservation,Female,Hispanic,5,3
