Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Chidlren Waiting on Adoption 31 August,Average Months since Termination of Parental Rights
2019,1-Lubbock,Female,African American,Birth to 5 Years Old,1,4
2019,1-Lubbock,Female,African American,Birth to 5 Years Old,5,5
2019,1-Lubbock,Female,African American,6-12 Years Old,4,48
2019,1-Lubbock,Female,African American,13-17 Years Old,3,59
2019,1-Lubbock,Female,African American,13-17 Years Old,3,22
2019,1-Lubbock,Female,African American,13-17 Years Old,3,24
2019,1-Lubbock,Female,African American,13-17 Years Old,3,51
2019,1-Lubbock,Female,African American,Birth to 5 Years Old,3,13
2019,1-Lubbock,Female,African American,Birth to 5 Years Old,2,4
2019,1-Lubbock,Female,African American,Birth to 5 Years Old,2,15
2019,1-Lubbock,Female,African American,6-12 Years Old,1,10
2019,1-Lubbock,Female,African American,6-12 Years Old,1,59
2019,1-Lubbock,Female,Anglo,Birth to 5 Years Old,2,3
2019,1-Lubbock,Female,Anglo,Birth to 5 Years Old,6,3
2019,1-Lubbock,Female,Anglo,6-12 Years Old,1,39
2019,1-Lubbock,Female,Anglo,6-12 Years Old,4,13
2019,1-Lubbock,Female,Anglo,6-12 Years Old,3,8
2019,1-Lubbock,Female,Anglo,13-17 Years Old,1,38
2019,1-Lubbock,Female,Anglo,13-17 Years Old,2,18
2019,1-Lubbock,Female,Anglo,13-17 Years Old,5,9
2019,1-Lubbock,Female,Anglo,13-17 Years Old,6,53
2019,1-Lubbock,Female,Anglo,13-17 Years Old,6,39
2019,1-Lubbock,Female,Anglo,Birth to 5 Years Old,1,0
2019,1-Lubbock,Female,Anglo,Birth to 5 Years Old,4,5
2019,1-Lubbock,Female,Anglo,Birth to 5 Years Old,3,8
2019,1-Lubbock,Female,Anglo,Birth to 5 Years Old,1,1
2019,1-Lubbock,Female,Anglo,6-12 Years Old,3,6
2019,1-Lubbock,Female,Anglo,6-12 Years Old,6,8
2019,1-Lubbock,Female,Anglo,6-12 Years Old,7,9
2019,1-Lubbock,Female,Hispanic,Birth to 5 Years Old,2,2
2019,1-Lubbock,Female,Hispanic,Birth to 5 Years Old,14,4
2019,1-Lubbock,Female,Hispanic,6-12 Years Old,6,30
2019,1-Lubbock,Female,Hispanic,6-12 Years Old,5,9
2019,1-Lubbock,Female,Hispanic,6-12 Years Old,13,27
2019,1-Lubbock,Female,Hispanic,13-17 Years Old,8,17
2019,1-Lubbock,Female,Hispanic,13-17 Years Old,9,11
2019,1-Lubbock,Female,Hispanic,13-17 Years Old,5,35
2019,1-Lubbock,Female,Hispanic,13-17 Years Old,10,36
2019,1-Lubbock,Female,Hispanic,13-17 Years Old,2,24
2019,1-Lubbock,Female,Hispanic,Birth to 5 Years Old,8,5
2019,1-Lubbock,Female,Hispanic,Birth to 5 Years Old,6,4
2019,1-Lubbock,Female,Hispanic,Birth to 5 Years Old,5,6
2019,1-Lubbock,Female,Hispanic,Birth to 5 Years Old,5,10
2019,1-Lubbock,Female,Hispanic,6-12 Years Old,9,8
2019,1-Lubbock,Female,Hispanic,6-12 Years Old,8,8
2019,1-Lubbock,Female,Hispanic,6-12 Years Old,7,10
2019,1-Lubbock,Female,Hispanic,6-12 Years Old,7,14
2019,1-Lubbock,Female,Native American,6-12 Years Old,1,19
2019,1-Lubbock,Female,Other,Birth to 5 Years Old,1,4
2019,1-Lubbock,Female,Other,Birth to 5 Years Old,2,3
2019,1-Lubbock,Female,Other,6-12 Years Old,1,12
2019,1-Lubbock,Female,Other,13-17 Years Old,1,9
2019,1-Lubbock,Female,Other,13-17 Years Old,1,16
2019,1-Lubbock,Female,Other,13-17 Years Old,3,13
2019,1-Lubbock,Female,Other,13-17 Years Old,1,17
2019,1-Lubbock,Female,Other,Birth to 5 Years Old,1,5
2019,1-Lubbock,Female,Other,Birth to 5 Years Old,2,4
2019,1-Lubbock,Female,Other,Birth to 5 Years Old,1,9
2019,1-Lubbock,Female,Other,6-12 Years Old,1,12
2019,1-Lubbock,Female,Other,6-12 Years Old,1,7
2019,1-Lubbock,Female,Other,6-12 Years Old,1,3
2019,1-Lubbock,Female,Unknown,Birth to 5 Years Old,1,2
2019,1-Lubbock,Female,Unknown,Birth to 5 Years Old,1,10
2019,1-Lubbock,Female,Unknown,6-12 Years Old,1,6
2019,1-Lubbock,Male,African American,Birth to 5 Years Old,3,5
2019,1-Lubbock,Male,African American,6-12 Years Old,2,31
2019,1-Lubbock,Male,African American,6-12 Years Old,4,37
2019,1-Lubbock,Male,African American,6-12 Years Old,1,59
2019,1-Lubbock,Male,African American,13-17 Years Old,1,109
2019,1-Lubbock,Male,African American,13-17 Years Old,1,57
2019,1-Lubbock,Male,African American,13-17 Years Old,1,145
2019,1-Lubbock,Male,African American,13-17 Years Old,4,60
2019,1-Lubbock,Male,African American,13-17 Years Old,2,28
2019,1-Lubbock,Male,African American,Birth to 5 Years Old,2,0
2019,1-Lubbock,Male,African American,Birth to 5 Years Old,3,9
2019,1-Lubbock,Male,African American,Birth to 5 Years Old,1,9
2019,1-Lubbock,Male,African American,Birth to 5 Years Old,2,10
2019,1-Lubbock,Male,African American,6-12 Years Old,1,26
2019,1-Lubbock,Male,African American,6-12 Years Old,1,26
2019,1-Lubbock,Male,Anglo,Birth to 5 Years Old,8,3
2019,1-Lubbock,Male,Anglo,6-12 Years Old,7,6
2019,1-Lubbock,Male,Anglo,6-12 Years Old,3,26
2019,1-Lubbock,Male,Anglo,6-12 Years Old,1,29
2019,1-Lubbock,Male,Anglo,13-17 Years Old,6,20
2019,1-Lubbock,Male,Anglo,13-17 Years Old,9,28
2019,1-Lubbock,Male,Anglo,13-17 Years Old,4,34
2019,1-Lubbock,Male,Anglo,13-17 Years Old,3,56
2019,1-Lubbock,Male,Anglo,13-17 Years Old,4,77
2019,1-Lubbock,Male,Anglo,Birth to 5 Years Old,4,5
2019,1-Lubbock,Male,Anglo,Birth to 5 Years Old,3,8
2019,1-Lubbock,Male,Anglo,Birth to 5 Years Old,4,2
2019,1-Lubbock,Male,Anglo,6-12 Years Old,2,26
2019,1-Lubbock,Male,Anglo,6-12 Years Old,5,15
2019,1-Lubbock,Male,Anglo,6-12 Years Old,5,21
2019,1-Lubbock,Male,Anglo,6-12 Years Old,1,12
2019,1-Lubbock,Male,Hispanic,Birth to 5 Years Old,2,4
2019,1-Lubbock,Male,Hispanic,Birth to 5 Years Old,18,6
2019,1-Lubbock,Male,Hispanic,6-12 Years Old,9,14
2019,1-Lubbock,Male,Hispanic,6-12 Years Old,7,11
2019,1-Lubbock,Male,Hispanic,6-12 Years Old,10,33
2019,1-Lubbock,Male,Hispanic,13-17 Years Old,5,23
2019,1-Lubbock,Male,Hispanic,13-17 Years Old,13,27
2019,1-Lubbock,Male,Hispanic,13-17 Years Old,8,36
2019,1-Lubbock,Male,Hispanic,13-17 Years Old,8,31
2019,1-Lubbock,Male,Hispanic,13-17 Years Old,2,44
2019,1-Lubbock,Male,Hispanic,Birth to 5 Years Old,6,8
2019,1-Lubbock,Male,Hispanic,Birth to 5 Years Old,9,6
2019,1-Lubbock,Male,Hispanic,Birth to 5 Years Old,4,11
2019,1-Lubbock,Male,Hispanic,Birth to 5 Years Old,8,5
2019,1-Lubbock,Male,Hispanic,6-12 Years Old,9,10
2019,1-Lubbock,Male,Hispanic,6-12 Years Old,3,11
2019,1-Lubbock,Male,Hispanic,6-12 Years Old,6,13
2019,1-Lubbock,Male,Hispanic,6-12 Years Old,6,20
2019,1-Lubbock,Male,Native American,6-12 Years Old,1,19
2019,1-Lubbock,Male,Other,Birth to 5 Years Old,1,1
2019,1-Lubbock,Male,Other,6-12 Years Old,2,6
2019,1-Lubbock,Male,Other,13-17 Years Old,1,9
2019,1-Lubbock,Male,Other,13-17 Years Old,1,77
2019,1-Lubbock,Male,Other,Birth to 5 Years Old,2,4
2019,1-Lubbock,Male,Other,Birth to 5 Years Old,1,10
2019,1-Lubbock,Male,Other,Birth to 5 Years Old,3,8
2019,1-Lubbock,Male,Other,6-12 Years Old,1,7
2019,1-Lubbock,Male,Unknown,Birth to 5 Years Old,1,3
2019,1-Lubbock,Male,Unknown,Birth to 5 Years Old,1,2
2019,2-Abilene,Female,African American,Birth to 5 Years Old,2,3
2019,2-Abilene,Female,African American,6-12 Years Old,1,12
2019,2-Abilene,Female,African American,6-12 Years Old,1,12
2019,2-Abilene,Female,African American,6-12 Years Old,2,4
2019,2-Abilene,Female,African American,13-17 Years Old,1,48
2019,2-Abilene,Female,African American,13-17 Years Old,1,79
2019,2-Abilene,Female,African American,13-17 Years Old,1,12
2019,2-Abilene,Female,African American,13-17 Years Old,1,125
2019,2-Abilene,Female,African American,Birth to 5 Years Old,1,12
2019,2-Abilene,Female,African American,Birth to 5 Years Old,1,1
2019,2-Abilene,Female,Anglo,Birth to 5 Years Old,1,1
2019,2-Abilene,Female,Anglo,Birth to 5 Years Old,6,4
2019,2-Abilene,Female,Anglo,6-12 Years Old,3,11
2019,2-Abilene,Female,Anglo,6-12 Years Old,2,13
2019,2-Abilene,Female,Anglo,6-12 Years Old,3,31
2019,2-Abilene,Female,Anglo,13-17 Years Old,6,31
2019,2-Abilene,Female,Anglo,13-17 Years Old,2,13
2019,2-Abilene,Female,Anglo,13-17 Years Old,2,114
2019,2-Abilene,Female,Anglo,13-17 Years Old,3,19
2019,2-Abilene,Female,Anglo,Birth to 5 Years Old,10,5
2019,2-Abilene,Female,Anglo,Birth to 5 Years Old,6,4
2019,2-Abilene,Female,Anglo,Birth to 5 Years Old,4,11
2019,2-Abilene,Female,Anglo,Birth to 5 Years Old,3,4
2019,2-Abilene,Female,Anglo,6-12 Years Old,2,8
2019,2-Abilene,Female,Anglo,6-12 Years Old,2,6
2019,2-Abilene,Female,Anglo,6-12 Years Old,6,14
2019,2-Abilene,Female,Hispanic,Birth to 5 Years Old,4,8
2019,2-Abilene,Female,Hispanic,6-12 Years Old,2,33
2019,2-Abilene,Female,Hispanic,6-12 Years Old,2,6
2019,2-Abilene,Female,Hispanic,6-12 Years Old,3,6
2019,2-Abilene,Female,Hispanic,13-17 Years Old,3,8
2019,2-Abilene,Female,Hispanic,13-17 Years Old,2,3
2019,2-Abilene,Female,Hispanic,13-17 Years Old,2,9
2019,2-Abilene,Female,Hispanic,13-17 Years Old,3,13
2019,2-Abilene,Female,Hispanic,13-17 Years Old,2,47
2019,2-Abilene,Female,Hispanic,Birth to 5 Years Old,5,7
2019,2-Abilene,Female,Hispanic,Birth to 5 Years Old,4,8
2019,2-Abilene,Female,Hispanic,Birth to 5 Years Old,3,6
2019,2-Abilene,Female,Hispanic,6-12 Years Old,2,7
2019,2-Abilene,Female,Hispanic,6-12 Years Old,4,6
2019,2-Abilene,Female,Hispanic,6-12 Years Old,1,13
2019,2-Abilene,Female,Hispanic,6-12 Years Old,1,13
2019,2-Abilene,Female,Native American,13-17 Years Old,1,56
2019,2-Abilene,Female,Other,Birth to 5 Years Old,2,12
2019,2-Abilene,Female,Other,6-12 Years Old,1,6
2019,2-Abilene,Female,Other,6-12 Years Old,1,19
2019,2-Abilene,Female,Other,13-17 Years Old,1,6
2019,2-Abilene,Female,Other,13-17 Years Old,3,13
2019,2-Abilene,Female,Other,Birth to 5 Years Old,2,7
2019,2-Abilene,Female,Other,Birth to 5 Years Old,1,8
2019,2-Abilene,Female,Other,Birth to 5 Years Old,1,6
2019,2-Abilene,Female,Other,6-12 Years Old,1,2
2019,2-Abilene,Female,Other,6-12 Years Old,1,2
2019,2-Abilene,Female,Other,6-12 Years Old,2,8
2019,2-Abilene,Female,Other,6-12 Years Old,1,2
