Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Children in Adoption Placements
2019,1-Lubbock,Female,African American,Birth to Five Years Old,13
2019,1-Lubbock,Female,African American,Six to Twelve Years Old,5
2019,1-Lubbock,Female,African American,Thirteen to Seventeen Years Old,4
2019,1-Lubbock,Female,Anglo,Birth to Five Years Old,25
2019,1-Lubbock,Female,Anglo,Six to Twelve Years Old,15
2019,1-Lubbock,Female,Anglo,Thirteen to Seventeen Years Old,7
2019,1-Lubbock,Female,Hispanic,Birth to Five Years Old,62
2019,1-Lubbock,Female,Hispanic,Six to Twelve Years Old,41
2019,1-Lubbock,Female,Hispanic,Thirteen to Seventeen Years Old,25
2019,1-Lubbock,Female,Native American,Six to Twelve Years Old,2
2019,1-Lubbock,Female,Other,Birth to Five Years Old,8
2019,1-Lubbock,Female,Other,Six to Twelve Years Old,4
2019,1-Lubbock,Female,Other,Thirteen to Seventeen Years Old,1
2019,1-Lubbock,Female,Unknown,Birth to Five Years Old,1
2019,1-Lubbock,Male,African American,Birth to Five Years Old,14
2019,1-Lubbock,Male,African American,Six to Twelve Years Old,7
2019,1-Lubbock,Male,African American,Thirteen to Seventeen Years Old,4
2019,1-Lubbock,Male,Anglo,Birth to Five Years Old,38
2019,1-Lubbock,Male,Anglo,Six to Twelve Years Old,30
2019,1-Lubbock,Male,Anglo,Thirteen to Seventeen Years Old,3
2019,1-Lubbock,Male,Asian,Birth to Five Years Old,1
2019,1-Lubbock,Male,Hispanic,Birth to Five Years Old,77
2019,1-Lubbock,Male,Hispanic,Six to Twelve Years Old,50
2019,1-Lubbock,Male,Hispanic,Thirteen to Seventeen Years Old,9
2019,1-Lubbock,Male,Native American,Six to Twelve Years Old,1
2019,1-Lubbock,Male,Other,Birth to Five Years Old,3
2019,1-Lubbock,Male,Other,Six to Twelve Years Old,5
2019,1-Lubbock,Male,Other,Thirteen to Seventeen Years Old,2
2019,1-Lubbock,Male,Unknown,Six to Twelve Years Old,2
2019,1-Lubbock,Unknown,Other,Six to Twelve Years Old,1
2019,1-Lubbock,Unknown,Unknown,Six to Twelve Years Old,1
2019,2-Abilene,Female,African American,Birth to Five Years Old,3
2019,2-Abilene,Female,Anglo,Birth to Five Years Old,28
2019,2-Abilene,Female,Anglo,Six to Twelve Years Old,18
2019,2-Abilene,Female,Anglo,Thirteen to Seventeen Years Old,7
2019,2-Abilene,Female,Hispanic,Birth to Five Years Old,16
2019,2-Abilene,Female,Hispanic,Six to Twelve Years Old,14
2019,2-Abilene,Female,Hispanic,Thirteen to Seventeen Years Old,3
2019,2-Abilene,Female,Other,Birth to Five Years Old,3
2019,2-Abilene,Female,Other,Six to Twelve Years Old,3
2019,2-Abilene,Female,Other,Thirteen to Seventeen Years Old,1
2019,2-Abilene,Female,Unknown,Birth to Five Years Old,1
2019,2-Abilene,Male,African American,Birth to Five Years Old,8
2019,2-Abilene,Male,Anglo,Birth to Five Years Old,32
2019,2-Abilene,Male,Anglo,Six to Twelve Years Old,13
2019,2-Abilene,Male,Anglo,Thirteen to Seventeen Years Old,1
2019,2-Abilene,Male,Anglo,,1
2019,2-Abilene,Male,Hispanic,Birth to Five Years Old,26
2019,2-Abilene,Male,Hispanic,Six to Twelve Years Old,5
2019,2-Abilene,Male,Hispanic,Thirteen to Seventeen Years Old,2
2019,2-Abilene,Male,Other,Birth to Five Years Old,6
2019,2-Abilene,Male,Other,Six to Twelve Years Old,5
2019,3-Arlington,Female,African American,Birth to Five Years Old,61
2019,3-Arlington,Female,African American,Six to Twelve Years Old,19
2019,3-Arlington,Female,African American,Thirteen to Seventeen Years Old,4
2019,3-Arlington,Female,Anglo,Birth to Five Years Old,122
2019,3-Arlington,Female,Anglo,Six to Twelve Years Old,93
2019,3-Arlington,Female,Anglo,Thirteen to Seventeen Years Old,23
2019,3-Arlington,Female,Asian,Thirteen to Seventeen Years Old,1
2019,3-Arlington,Female,Hispanic,Birth to Five Years Old,73
2019,3-Arlington,Female,Hispanic,Six to Twelve Years Old,42
2019,3-Arlington,Female,Hispanic,Thirteen to Seventeen Years Old,16
2019,3-Arlington,Female,Native American,Six to Twelve Years Old,1
2019,3-Arlington,Female,Native American,Thirteen to Seventeen Years Old,1
2019,3-Arlington,Female,Other,Birth to Five Years Old,29
2019,3-Arlington,Female,Other,Six to Twelve Years Old,11
2019,3-Arlington,Female,Other,Thirteen to Seventeen Years Old,5
2019,3-Arlington,Female,Unknown,Birth to Five Years Old,6
2019,3-Arlington,Female,Unknown,Six to Twelve Years Old,1
2019,3-Arlington,Female,Unknown,Thirteen to Seventeen Years Old,1
2019,3-Arlington,Male,African American,Birth to Five Years Old,95
2019,3-Arlington,Male,African American,Six to Twelve Years Old,33
2019,3-Arlington,Male,African American,Thirteen to Seventeen Years Old,9
2019,3-Arlington,Male,Anglo,Birth to Five Years Old,132
2019,3-Arlington,Male,Anglo,Six to Twelve Years Old,76
2019,3-Arlington,Male,Anglo,Thirteen to Seventeen Years Old,19
2019,3-Arlington,Male,Hispanic,Birth to Five Years Old,95
2019,3-Arlington,Male,Hispanic,Six to Twelve Years Old,36
2019,3-Arlington,Male,Hispanic,Thirteen to Seventeen Years Old,9
2019,3-Arlington,Male,Other,Birth to Five Years Old,35
2019,3-Arlington,Male,Other,Six to Twelve Years Old,10
2019,3-Arlington,Male,Other,Thirteen to Seventeen Years Old,3
2019,3-Arlington,Male,Unknown,Birth to Five Years Old,5
2019,3-Arlington,Male,Unknown,Six to Twelve Years Old,2
2019,4-Tyler,Female,African American,Birth to Five Years Old,13
2019,4-Tyler,Female,African American,Six to Twelve Years Old,4
2019,4-Tyler,Female,African American,Thirteen to Seventeen Years Old,1
2019,4-Tyler,Female,Anglo,Birth to Five Years Old,60
2019,4-Tyler,Female,Anglo,Six to Twelve Years Old,32
2019,4-Tyler,Female,Anglo,Thirteen to Seventeen Years Old,12
2019,4-Tyler,Female,Anglo,,1
2019,4-Tyler,Female,Hispanic,Birth to Five Years Old,12
2019,4-Tyler,Female,Hispanic,Six to Twelve Years Old,1
2019,4-Tyler,Female,Hispanic,Thirteen to Seventeen Years Old,2
2019,4-Tyler,Female,Other,Birth to Five Years Old,13
2019,4-Tyler,Female,Other,Thirteen to Seventeen Years Old,1
2019,4-Tyler,Female,Unknown,Birth to Five Years Old,2
2019,4-Tyler,Female,Unknown,Six to Twelve Years Old,1
2019,4-Tyler,Male,African American,Birth to Five Years Old,20
2019,4-Tyler,Male,African American,Six to Twelve Years Old,6
2019,4-Tyler,Male,African American,Thirteen to Seventeen Years Old,2
2019,4-Tyler,Male,Anglo,Birth to Five Years Old,60
2019,4-Tyler,Male,Anglo,Six to Twelve Years Old,33
2019,4-Tyler,Male,Anglo,Thirteen to Seventeen Years Old,4
2019,4-Tyler,Male,Hispanic,Birth to Five Years Old,7
2019,4-Tyler,Male,Hispanic,Six to Twelve Years Old,3
2019,4-Tyler,Male,Hispanic,Thirteen to Seventeen Years Old,1
2019,4-Tyler,Male,Other,Birth to Five Years Old,7
2019,4-Tyler,Male,Other,Six to Twelve Years Old,3
2019,4-Tyler,Male,Other,Thirteen to Seventeen Years Old,1
2019,4-Tyler,Male,Unknown,Birth to Five Years Old,3
2019,4-Tyler,Male,Unknown,Six to Twelve Years Old,1
2019,5-Beaumont,Female,African American,Birth to Five Years Old,25
2019,5-Beaumont,Female,African American,Six to Twelve Years Old,9
2019,5-Beaumont,Female,African American,Thirteen to Seventeen Years Old,3
2019,5-Beaumont,Female,Anglo,Birth to Five Years Old,42
2019,5-Beaumont,Female,Anglo,Six to Twelve Years Old,31
2019,5-Beaumont,Female,Anglo,Thirteen to Seventeen Years Old,8
2019,5-Beaumont,Female,Hispanic,Birth to Five Years Old,7
2019,5-Beaumont,Female,Hispanic,Six to Twelve Years Old,4
2019,5-Beaumont,Female,Hispanic,Thirteen to Seventeen Years Old,1
2019,5-Beaumont,Female,Hispanic,,1
2019,5-Beaumont,Female,Other,Birth to Five Years Old,2
2019,5-Beaumont,Female,Other,Six to Twelve Years Old,5
2019,5-Beaumont,Female,Unknown,Birth to Five Years Old,1
2019,5-Beaumont,Male,African American,Birth to Five Years Old,17
2019,5-Beaumont,Male,African American,Six to Twelve Years Old,10
2019,5-Beaumont,Male,African American,Thirteen to Seventeen Years Old,4
2019,5-Beaumont,Male,Anglo,Birth to Five Years Old,50
2019,5-Beaumont,Male,Anglo,Six to Twelve Years Old,18
2019,5-Beaumont,Male,Anglo,Thirteen to Seventeen Years Old,5
2019,5-Beaumont,Male,Hispanic,Birth to Five Years Old,6
2019,5-Beaumont,Male,Hispanic,Six to Twelve Years Old,3
2019,5-Beaumont,Male,Hispanic,Thirteen to Seventeen Years Old,1
2019,5-Beaumont,Male,Other,Birth to Five Years Old,6
2019,5-Beaumont,Male,Other,Six to Twelve Years Old,3
2019,5-Beaumont,Male,Unknown,Six to Twelve Years Old,1
2019,6-Houston,Female,African American,Birth to Five Years Old,120
2019,6-Houston,Female,African American,Six to Twelve Years Old,57
2019,6-Houston,Female,African American,Thirteen to Seventeen Years Old,20
2019,6-Houston,Female,Anglo,Birth to Five Years Old,92
2019,6-Houston,Female,Anglo,Six to Twelve Years Old,49
2019,6-Houston,Female,Anglo,Thirteen to Seventeen Years Old,15
2019,6-Houston,Female,Asian,Six to Twelve Years Old,4
2019,6-Houston,Female,Hispanic,Birth to Five Years Old,111
2019,6-Houston,Female,Hispanic,Six to Twelve Years Old,76
2019,6-Houston,Female,Hispanic,Thirteen to Seventeen Years Old,18
2019,6-Houston,Female,Other,Birth to Five Years Old,17
2019,6-Houston,Female,Other,Six to Twelve Years Old,9
2019,6-Houston,Female,Other,Thirteen to Seventeen Years Old,3
2019,6-Houston,Female,Unknown,Birth to Five Years Old,4
2019,6-Houston,Female,Unknown,Six to Twelve Years Old,2
2019,6-Houston,Female,Unknown,Thirteen to Seventeen Years Old,1
2019,6-Houston,Male,African American,Birth to Five Years Old,162
2019,6-Houston,Male,African American,Six to Twelve Years Old,63
2019,6-Houston,Male,African American,Thirteen to Seventeen Years Old,12
2019,6-Houston,Male,Anglo,Birth to Five Years Old,85
2019,6-Houston,Male,Anglo,Six to Twelve Years Old,38
2019,6-Houston,Male,Anglo,Thirteen to Seventeen Years Old,11
