Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Disabling Condition,Children in Adoption Placements
2019,1-Lubbock,Female,African American,Birth to Five Years Old,Drug or Alcohol,6
2019,1-Lubbock,Female,Anglo,Birth to Five Years Old,Drug or Alcohol,4
2019,1-Lubbock,Female,Anglo,Six to Twelve Years Old,Drug or Alcohol,1
2019,1-Lubbock,Female,Hispanic,Birth to Five Years Old,Drug or Alcohol,6
2019,1-Lubbock,Male,Anglo,Birth to Five Years Old,Drug or Alcohol,9
2019,1-Lubbock,Male,Anglo,Six to Twelve Years Old,Drug or Alcohol,1
2019,1-Lubbock,Male,Hispanic,Birth to Five Years Old,Drug or Alcohol,14
2019,1-Lubbock,Male,Hispanic,Thirteen to Seventeen Years Old,Drug or Alcohol,1
2019,1-Lubbock,Female,Anglo,Birth to Five Years Old,Emotionally Disturbed,1
2019,1-Lubbock,Female,Anglo,Six to Twelve Years Old,Emotionally Disturbed,2
2019,1-Lubbock,Female,Hispanic,Birth to Five Years Old,Emotionally Disturbed,1
2019,1-Lubbock,Female,Hispanic,Six to Twelve Years Old,Emotionally Disturbed,3
2019,1-Lubbock,Female,Native American,Six to Twelve Years Old,Emotionally Disturbed,2
2019,1-Lubbock,Male,African American,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,1-Lubbock,Male,Anglo,Six to Twelve Years Old,Emotionally Disturbed,2
2019,1-Lubbock,Male,Hispanic,Birth to Five Years Old,Emotionally Disturbed,3
2019,1-Lubbock,Male,Hispanic,Six to Twelve Years Old,Emotionally Disturbed,4
2019,1-Lubbock,Male,Hispanic,Thirteen to Seventeen Years Old,Emotionally Disturbed,3
2019,1-Lubbock,Male,Other,Thirteen to Seventeen Years Old,Emotionally Disturbed,1
2019,1-Lubbock,Female,African American,Birth to Five Years Old,Learning Disability,1
2019,1-Lubbock,Female,African American,Thirteen to Seventeen Years Old,Learning Disability,1
2019,1-Lubbock,Female,Anglo,Birth to Five Years Old,Learning Disability,1
2019,1-Lubbock,Female,Anglo,Six to Twelve Years Old,Learning Disability,4
2019,1-Lubbock,Female,Hispanic,Birth to Five Years Old,Learning Disability,2
2019,1-Lubbock,Female,Hispanic,Six to Twelve Years Old,Learning Disability,1
2019,1-Lubbock,Female,Hispanic,Thirteen to Seventeen Years Old,Learning Disability,3
2019,1-Lubbock,Female,Native American,Six to Twelve Years Old,Learning Disability,2
2019,1-Lubbock,Male,African American,Birth to Five Years Old,Learning Disability,2
2019,1-Lubbock,Male,African American,Six to Twelve Years Old,Learning Disability,1
2019,1-Lubbock,Male,African American,Thirteen to Seventeen Years Old,Learning Disability,1
2019,1-Lubbock,Male,Anglo,Birth to Five Years Old,Learning Disability,6
2019,1-Lubbock,Male,Anglo,Six to Twelve Years Old,Learning Disability,5
2019,1-Lubbock,Male,Hispanic,Birth to Five Years Old,Learning Disability,2
2019,1-Lubbock,Male,Hispanic,Six to Twelve Years Old,Learning Disability,4
2019,1-Lubbock,Male,Hispanic,Thirteen to Seventeen Years Old,Learning Disability,2
2019,1-Lubbock,Male,Other,Birth to Five Years Old,Learning Disability,1
2019,1-Lubbock,Male,Other,Six to Twelve Years Old,Learning Disability,1
2019,1-Lubbock,Female,African American,Birth to Five Years Old,Medically Involved,1
2019,1-Lubbock,Female,Anglo,Birth to Five Years Old,Medically Involved,1
2019,1-Lubbock,Female,Anglo,Six to Twelve Years Old,Medically Involved,1
