Fiscal Year,Region,Gender,Race/Ethnicity,Same Race/Ethnicity as Adoptive Parent,Age Group,Consummated Adoptions
2019,1-Lubbock,Female,African American,Yes,Birth to Five Years Old,2
2019,1-Lubbock,Female,African American,Yes,Six to Twelve Years Old,1
2019,1-Lubbock,Female,African American,No,Birth to Five Years Old,10
2019,1-Lubbock,Female,African American,No,Six to Twelve Years Old,3
2019,1-Lubbock,Female,African American,No,Thirteen to Eighteen Years Old,3
2019,1-Lubbock,Female,Anglo,Yes,Birth to Five Years Old,20
2019,1-Lubbock,Female,Anglo,Yes,Six to Twelve Years Old,15
2019,1-Lubbock,Female,Anglo,Yes,Thirteen to Eighteen Years Old,6
2019,1-Lubbock,Female,Anglo,No,Birth to Five Years Old,3
2019,1-Lubbock,Female,Anglo,No,Six to Twelve Years Old,2
2019,1-Lubbock,Female,Anglo,No,Thirteen to Eighteen Years Old,2
2019,1-Lubbock,Female,Hispanic,Yes,Birth to Five Years Old,21
2019,1-Lubbock,Female,Hispanic,Yes,Six to Twelve Years Old,25
2019,1-Lubbock,Female,Hispanic,Yes,Thirteen to Eighteen Years Old,15
2019,1-Lubbock,Female,Hispanic,No,Birth to Five Years Old,36
2019,1-Lubbock,Female,Hispanic,No,Six to Twelve Years Old,15
2019,1-Lubbock,Female,Hispanic,No,Thirteen to Eighteen Years Old,10
2019,1-Lubbock,Female,Other,No,Birth to Five Years Old,9
2019,1-Lubbock,Female,Other,No,Six to Twelve Years Old,4
2019,1-Lubbock,Female,Other,No,Thirteen to Eighteen Years Old,1
2019,1-Lubbock,Male,African American,Yes,Birth to Five Years Old,4
2019,1-Lubbock,Male,African American,No,Birth to Five Years Old,9
2019,1-Lubbock,Male,African American,No,Six to Twelve Years Old,5
2019,1-Lubbock,Male,African American,No,Thirteen to Eighteen Years Old,3
2019,1-Lubbock,Male,Anglo,Yes,Birth to Five Years Old,26
2019,1-Lubbock,Male,Anglo,Yes,Six to Twelve Years Old,20
2019,1-Lubbock,Male,Anglo,Yes,Thirteen to Eighteen Years Old,3
2019,1-Lubbock,Male,Anglo,No,Birth to Five Years Old,10
2019,1-Lubbock,Male,Anglo,No,Six to Twelve Years Old,6
2019,1-Lubbock,Male,Asian,Yes,Birth to Five Years Old,1
2019,1-Lubbock,Male,Hispanic,Yes,Birth to Five Years Old,36
2019,1-Lubbock,Male,Hispanic,Yes,Six to Twelve Years Old,29
2019,1-Lubbock,Male,Hispanic,Yes,Thirteen to Eighteen Years Old,8
2019,1-Lubbock,Male,Hispanic,No,Birth to Five Years Old,34
2019,1-Lubbock,Male,Hispanic,No,Six to Twelve Years Old,15
2019,1-Lubbock,Male,Hispanic,No,Thirteen to Eighteen Years Old,2
2019,1-Lubbock,Male,Other,No,Birth to Five Years Old,2
2019,1-Lubbock,Male,Other,No,Six to Twelve Years Old,8
2019,1-Lubbock,Male,Other,No,Thirteen to Eighteen Years Old,1
