,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative
0,2010,1-Lubbock,Female,African American,Birth to Five Years Old,13.0,8.0,7.0,,1.0,,,,22,19,191,10.052631578947368,10.0,10.0,24.0,15.0,25.0,14.0
1,2010,1-Lubbock,Female,African American,Six to Twelve Years Old,5.0,9.0,,7.0,3.0,,,,13,13,496,38.15384615384615,12.0,14.0,24.0,8.0,26.0,6.0
2,2010,1-Lubbock,Female,Anglo,Birth to Five Years Old,6.0,26.0,7.0,1.0,2.0,3.0,,,24,25,162,6.48,10.0,10.0,40.0,18.0,40.0,18.0
3,2010,1-Lubbock,Female,Anglo,Six to Twelve Years Old,4.0,7.0,2.0,5.0,5.0,1.0,,,12,20,454,22.7,14.0,14.0,46.0,17.0,45.0,18.0
4,2010,1-Lubbock,Female,Hispanic,Birth to Five Years Old,16.0,8.0,3.0,1.0,,,,,26,28,214,7.642857142857143,10.0,10.0,47.0,22.0,47.0,22.0
5,2010,1-Lubbock,Female,Hispanic,Six to Twelve Years Old,24.0,16.0,,7.0,2.0,,,,40,36,495,13.75,14.0,14.0,48.0,24.0,53.0,19.0
6,2010,1-Lubbock,Male,African American,Birth to Five Years Old,13.0,7.0,6.0,,1.0,,,1.0,21,17,157,9.235294117647058,10.0,10.0,19.0,14.0,23.0,10.0
7,2010,1-Lubbock,Male,African American,Six to Twelve Years Old,3.0,3.0,,3.0,2.0,,,,7,21,708,33.714285714285715,12.0,14.0,41.0,13.0,43.0,11.0
8,2010,1-Lubbock,Male,Anglo,Birth to Five Years Old,6.0,11.0,4.0,1.0,2.0,,,,16,11,122,11.090909090909092,10.0,10.0,39.0,18.0,40.0,17.0
9,2010,1-Lubbock,Male,Anglo,Six to Twelve Years Old,1.0,9.0,,4.0,4.0,,,,8,26,624,24.0,14.0,14.0,55.0,16.0,56.0,15.0
10,2010,1-Lubbock,Male,Hispanic,Birth to Five Years Old,26.0,14.0,4.0,1.0,3.0,4.0,,2.0,44,22,238,10.818181818181818,10.0,10.0,40.0,32.0,44.0,28.0
11,2010,1-Lubbock,Male,Hispanic,Six to Twelve Years Old,12.0,17.0,1.0,7.0,12.0,1.0,,,31,40,890,22.25,14.0,14.0,57.0,27.0,62.0,22.0
12,2010,10-El Paso,Female,African American,Birth to Five Years Old,2.0,,1.0,,,,,,2,2,12,6.0,4.0,10.0,3.0,1.0,3.0,1.0
13,2010,10-El Paso,Female,African American,Six to Twelve Years Old,3.0,,,1.0,1.0,,,,1,3,21,7.0,4.0,14.0,2.0,3.0,4.0,1.0
14,2010,10-El Paso,Female,Anglo,Six to Twelve Years Old,2.0,2.0,,1.0,1.0,,,,2,2,52,26.0,12.0,14.0,5.0,4.0,4.0,5.0
15,2010,10-El Paso,Female,Hispanic,Birth to Five Years Old,4.0,12.0,,,4.0,1.0,,,15,11,185,16.818181818181817,10.0,10.0,10.0,6.0,9.0,7.0
16,2010,10-El Paso,Female,Hispanic,Six to Twelve Years Old,8.0,10.0,,1.0,1.0,1.0,,,14,13,222,17.076923076923077,14.0,14.0,12.0,11.0,16.0,7.0
17,2010,10-El Paso,Male,African American,Birth to Five Years Old,2.0,,,,,1.0,,,2,1,16,16.0,8.0,10.0,3.0,3.0,4.0,2.0
18,2010,10-El Paso,Male,Anglo,Six to Twelve Years Old,3.0,,,1.0,,,,,1,2,45,22.5,12.0,14.0,6.0,1.0,6.0,1.0
19,2010,10-El Paso,Male,Hispanic,Birth to Five Years Old,5.0,10.0,,1.0,,,,,13,13,102,7.846153846153846,10.0,10.0,12.0,5.0,12.0,5.0
20,2010,10-El Paso,Male,Hispanic,Six to Twelve Years Old,4.0,13.0,,6.0,2.0,,,,14,18,407,22.61111111111111,14.0,14.0,11.0,11.0,15.0,7.0
21,2010,11-Edinburg,Female,African American,Birth to Five Years Old,2.0,1.0,,,,,,1.0,3,2,11,5.5,6.0,10.0,4.0,4.0,5.0,3.0
22,2010,11-Edinburg,Female,Anglo,Birth to Five Years Old,1.0,2.0,1.0,,,,,,4,9,42,4.666666666666667,10.0,10.0,17.0,4.0,17.0,4.0
23,2010,11-Edinburg,Female,Anglo,Six to Twelve Years Old,,3.0,,2.0,3.0,,,,4,1,10,10.0,12.0,14.0,12.0,7.0,13.0,6.0
24,2010,11-Edinburg,Female,Hispanic,Birth to Five Years Old,20.0,29.0,11.0,1.0,1.0,1.0,,,47,40,380,9.5,10.0,10.0,87.0,47.0,91.0,43.0
25,2010,11-Edinburg,Female,Hispanic,Six to Twelve Years Old,12.0,16.0,1.0,3.0,6.0,1.0,,1.0,29,48,1023,21.3125,14.0,14.0,88.0,51.0,96.0,43.0
26,2010,11-Edinburg,Male,African American,Six to Twelve Years Old,1.0,,,1.0,,,,,2,6,178,29.666666666666668,,14.0,4.0,1.0,5.0,
27,2010,11-Edinburg,Male,Anglo,Birth to Five Years Old,,2.0,2.0,,,,,,4,4,22,5.5,10.0,10.0,20.0,10.0,21.0,9.0
28,2010,11-Edinburg,Male,Anglo,Six to Twelve Years Old,3.0,1.0,,2.0,6.0,1.0,,1.0,6,9,155,17.22222222222222,10.0,14.0,18.0,6.0,21.0,3.0
29,2010,11-Edinburg,Male,Hispanic,Birth to Five Years Old,10.0,30.0,12.0,,3.0,4.0,,,40,39,265,6.794871794871795,10.0,10.0,76.0,51.0,80.0,47.0
30,2010,11-Edinburg,Male,Hispanic,Six to Twelve Years Old,10.0,17.0,2.0,6.0,11.0,3.0,,2.0,36,65,1810,27.846153846153847,14.0,14.0,86.0,56.0,99.0,43.0
31,2010,2-Abilene,Female,African American,Birth to Five Years Old,6.0,1.0,2.0,1.0,1.0,,,,6,5,23,4.6,10.0,10.0,14.0,10.0,14.0,10.0
32,2010,2-Abilene,Female,Anglo,Birth to Five Years Old,,9.0,1.0,,1.0,2.0,,,11,7,70,10.0,10.0,10.0,29.0,19.0,29.0,19.0
33,2010,2-Abilene,Female,Anglo,Six to Twelve Years Old,3.0,12.0,,6.0,3.0,,,,15,11,269,24.454545454545453,14.0,14.0,35.0,16.0,35.0,16.0
