,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions
0,2010,1-Lubbock,Female,African American,Birth to Five Years Old,13.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,22,19,191,10.052631578947368,10.0,10.0,24.0,15.0,25.0,14.0,21.0,39.0,35.0
1,2010,1-Lubbock,Female,African American,Six to Twelve Years Old,5.0,9.0,0.0,7.0,3.0,0.0,0.0,0.0,13,13,496,38.153846153846146,12.0,14.0,24.0,8.0,26.0,6.0,14.0,32.0,30.434782608695656
2,2010,1-Lubbock,Female,African American,Thirteen to Seventeen Years Old,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3,7,345,49.28571428571429,6.0,10.0,32.0,3.0,34.0,1.0,0.0,35.0,0.0
3,2010,1-Lubbock,Female,Anglo,Birth to Five Years Old,6.0,26.0,7.0,1.0,2.0,3.0,0.0,0.0,24,25,162,6.48,10.0,10.0,40.0,18.0,40.0,18.0,32.0,58.0,35.55555555555556
4,2010,1-Lubbock,Female,Anglo,Six to Twelve Years Old,4.0,7.0,2.0,5.0,5.0,1.0,0.0,0.0,12,20,454,22.7,14.0,14.0,46.0,17.0,45.0,18.0,11.0,63.0,14.864864864864865
5,2010,1-Lubbock,Female,Anglo,Thirteen to Seventeen Years Old,0.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,5,11,446,40.54545454545455,10.0,10.0,53.0,17.0,60.0,10.0,0.0,70.0,0.0
6,2010,1-Lubbock,Female,Hispanic,Birth to Five Years Old,16.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,26,28,214,7.642857142857142,10.0,10.0,47.0,22.0,47.0,22.0,24.0,69.0,25.806451612903224
7,2010,1-Lubbock,Female,Hispanic,Six to Twelve Years Old,24.0,16.0,0.0,7.0,2.0,0.0,0.0,0.0,40,36,495,13.75,14.0,14.0,48.0,24.0,53.0,19.0,40.0,72.0,35.714285714285715
8,2010,1-Lubbock,Male,African American,Birth to Five Years Old,13.0,7.0,6.0,0.0,1.0,0.0,0.0,1.0,21,17,157,9.235294117647056,10.0,10.0,19.0,14.0,23.0,10.0,20.0,33.0,37.735849056603776
9,2010,1-Lubbock,Male,African American,Six to Twelve Years Old,3.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,7,21,708,33.714285714285715,12.0,14.0,41.0,13.0,43.0,11.0,6.0,54.0,10.0
