,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions,Fiscal Year_2010,Fiscal Year_2011,Fiscal Year_2012,Fiscal Year_2013,Fiscal Year_2014,Fiscal Year_2015,Fiscal Year_2016,Fiscal Year_2017,Fiscal Year_2018,Fiscal Year_2019,Region_1-Lubbock,Region_10-El Paso,Region_11-Edinburg,Region_2-Abilene,Region_3-Arlington,Region_4-Tyler,Region_5-Beaumont,Region_6-Houston,Region_7-Austin,Region_8-San Antonio,Region_9-Midland,Race/Ethnicity_African American,Race/Ethnicity_Anglo,Race/Ethnicity_Asian,Race/Ethnicity_Hispanic,Race/Ethnicity_Other,Age Group_Birth to Five Years Old,Age Group_Six to Twelve Years Old,Age Group_Thirteen to Seventeen Years Old,Gender_Female,Gender_Male
0,13.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,22,19,191,10.052631578947368,10.0,10.0,24.0,15.0,25.0,14.0,21.0,39.0,35.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1,5.0,9.0,0.0,7.0,3.0,0.0,0.0,0.0,13,13,496,38.153846153846146,12.0,14.0,24.0,8.0,26.0,6.0,14.0,32.0,30.434782608695656,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3,7,345,49.28571428571429,6.0,10.0,32.0,3.0,34.0,1.0,0.0,35.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
3,6.0,26.0,7.0,1.0,2.0,3.0,0.0,0.0,24,25,162,6.48,10.0,10.0,40.0,18.0,40.0,18.0,32.0,58.0,35.55555555555556,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
4,4.0,7.0,2.0,5.0,5.0,1.0,0.0,0.0,12,20,454,22.7,14.0,14.0,46.0,17.0,45.0,18.0,11.0,63.0,14.864864864864865,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
5,0.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,5,11,446,40.54545454545455,10.0,10.0,53.0,17.0,60.0,10.0,0.0,70.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
6,16.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,26,28,214,7.642857142857142,10.0,10.0,47.0,22.0,47.0,22.0,24.0,69.0,25.806451612903224,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
7,24.0,16.0,0.0,7.0,2.0,0.0,0.0,0.0,40,36,495,13.75,14.0,14.0,48.0,24.0,53.0,19.0,40.0,72.0,35.714285714285715,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
8,13.0,7.0,6.0,0.0,1.0,0.0,0.0,1.0,21,17,157,9.235294117647056,10.0,10.0,19.0,14.0,23.0,10.0,20.0,33.0,37.735849056603776,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
9,3.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,7,21,708,33.714285714285715,12.0,14.0,41.0,13.0,43.0,11.0,6.0,54.0,10.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
10,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3,12,582,48.5,8.0,10.0,44.0,10.0,48.0,6.0,3.0,54.0,5.263157894736842,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
11,6.0,11.0,4.0,1.0,2.0,0.0,0.0,0.0,16,11,122,11.090909090909092,10.0,10.0,39.0,18.0,40.0,17.0,17.0,57.0,22.972972972972975,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
12,1.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,8,26,624,24.0,14.0,14.0,55.0,16.0,56.0,15.0,10.0,71.0,12.345679012345679,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
13,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,6,13,388,29.84615384615385,8.0,10.0,61.0,9.0,67.0,3.0,0.0,70.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
14,26.0,14.0,4.0,1.0,3.0,4.0,0.0,2.0,44,22,238,10.818181818181818,10.0,10.0,40.0,32.0,44.0,28.0,40.0,72.0,35.714285714285715,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
15,12.0,17.0,1.0,7.0,12.0,1.0,0.0,0.0,31,40,890,22.25,14.0,14.0,57.0,27.0,62.0,22.0,29.0,84.0,25.663716814159294,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
16,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8,18,467,25.944444444444446,8.0,10.0,35.0,8.0,39.0,4.0,8.0,43.0,15.686274509803921,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
17,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,12,6.0,4.0,10.0,3.0,1.0,3.0,1.0,0.0,4.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
18,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3,21,7.0,4.0,14.0,2.0,3.0,4.0,1.0,0.0,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
